"Financials","IT","Energy","Healthcare","Consumer_discretionary","Consumer_staples"
0.274196857508141,0.237329312987538,0.436502635745306,0.214226133596242,0.400372693581568,0.40937216718981
0.486777499748455,0.537345169159222,0.634278174557684,0.69126189065996,0.687420316714988,0.580429687784244
0.33111157089326,0.43562579623583,0.437539849589207,0.390895694613687,0.570065740835722,0.188993585858628
0.648582132573713,0.738132805963077,0.191292882717916,0.728288656787898,0.642710453807406,0.685972403184672
0.721587441824393,0.76687976197907,0.643409448466596,0.675124502025815,0.749314396990934,0.80330543385474
0.26331289632474,0.408611469930107,0.365924010256107,0.501196108942257,0.435608594225037,0.412157457973369
0.72944107900762,0.829146463947186,0.497734024473209,0.325523020995817,0.697981967123535,0.806434359955711
0.416355621660401,0.287218259563424,0.493999947496704,0.729940139607287,0.56411640116916,0.491256370906236
0.301232132254731,0.488565782377316,0.308850727371102,0.835527202785511,0.512543148940465,0.810514436224167
0.774959555350631,0.863278875082546,0.534993060468243,0.726696210448457,0.861786059818724,0.65812189958024
0.664593534182401,0.699987042173675,0.318650645134757,0.513889579052796,0.699724774951159,0.634485166158135
0.186250220446117,0.435196496916885,0.105055204729053,0.505550636116394,0.537502547403305,0.690713723485278
0.605747181783632,0.602331408471999,0.243736023446672,0.549077189117905,0.56109102845138,0.543469124936214
0.401333881514786,0.651485083655393,0.381765829961434,0.22732776777684,0.650271653269324,0.304012525558426
0.0666797373294746,0.292202361128641,0.193449707020453,0.0168956635030679,0.114461306209239,0.123202345683095
0.0746083935354101,0.0144541082433975,0.0313212227656878,0.171488786798262,0.0963445406693426,0.274693782027054
0.822765072691923,0.914988760333472,0.608120125256101,0.707711855855868,0.881092851254777,0.561678924944169
0.447796075389777,0.532423672003171,0.230704394773196,0.344320753841106,0.581405155296874,0.165746124392992
0.864224319186354,0.739110487696107,0.703004672382196,0.149806956547124,0.574187443600148,0.949068689027181
0.0453427130195004,0.0189428288100421,0.0238254867357191,0.0126715672788073,0.864132415878893,0.0518376794894736
0.661978899756875,0.79408230018311,0.205454157667307,0.824763985464531,0.808863015132456,0.473023200042481
0.783273091295928,0.94394691823501,0.580235379474378,0.948474077621944,0.981681036040541,0.773342289543157
0.932088711374266,0.61882959215747,0.979534734946711,0.95746706124011,0.763923742100894,0.853943265203648
0.453972088611216,0.695934979019221,0.277854500320952,0.524224652434114,0.54352781064966,0.669636350151479
0.393176159024349,0.218799977458794,0.334142182190132,0.206647166330036,0.487218155054618,0.588469627048802
0.568249950248149,0.811666407234958,0.371803764951221,0.680999356311539,0.940261872451201,0.709687717040179
0.640578668692662,0.364428565227639,0.746561361583334,0.724838651726757,0.84528888041584,0.257350839843828
0.528013823755325,0.769635828645422,0.792654048397765,0.543461807227589,0.893107713773585,0.451297608898306
0.481816748914007,0.370491260866455,0.409772719911235,0.255902578896433,0.508070541829981,0.816618038108127
0.533558643897534,0.631183908691339,0.349530506186731,0.545836502989215,0.533225204630284,0.669428419729552
